Type,Category,Cost,Description,Date
income,Pocket money,716,From parents,01-09-2023
expense,violin,2980,For Tai ji,02-09-2023
expense,grocery,4272,essential,03-09-2023
income,offline part time job,751,salary,04-09-2023
expense,stationary,2367,essential,05-09-2023
income,online part time job,510,salary,06-09-2023
expense,donation,572,charity,07-09-2023
expense,Ganesh Puja,2263,devotion,08-09-2023
expense,lunch,3922,food,09-09-2023
expense,breakfast,1845,food,10-09-2023
expense,dinner,710,food,11-09-2023
expense,snacks,3412,food,12-09-2023
expense,camera,3662,accessory,13-09-2023
expense,bag,733,accessory,14-09-2023
expense,dance class,2820,self work,15-09-2023
expense,picnic,3456,recreation,16-09-2023
expense,dress,4935,clothes,17-09-2023
expense,saree,1648,clothes,18-09-2023
expense,grocery,977,essential,19-09-2023
income,stipend,591,scholarship,20-09-2023
